CNES - Recursos Físicos - Urgência - Leitos de Repouso / Observação - Brasil
Leitos Repouso/Observação Indif por Município e Região
Período:Fev/2020
"Município";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"Total"
"320010 Afonso Cláudio";-;-;2;-;-;2
"320016 Água Doce do Norte";-;-;5;-;-;5
"320020 Alegre";-;-;3;-;-;3
"320040 Anchieta";-;-;4;-;-;4
"320050 Apiacá";-;-;6;-;-;6
"320060 Aracruz";-;-;1;-;-;1
"320090 Barra de São Francisco";-;-;3;-;-;3
"320100 Boa Esperança";-;-;2;-;-;2
"320115 Brejetuba";-;-;4;-;-;4
"320120 Cachoeiro de Itapemirim";-;-;34;-;-;34
"320130 Cariacica";-;-;38;-;-;38
"320140 Castelo";-;-;6;-;-;6
"320150 Colatina";-;-;6;-;-;6
"320170 Conceição do Castelo";-;-;6;-;-;6
"320220 Fundão";-;-;3;-;-;3
"320240 Guarapari";-;-;2;-;-;2
"320245 Ibatiba";-;-;3;-;-;3
"320270 Itaguaçu";-;-;1;-;-;1
"320280 Itapemirim";-;-;4;-;-;4
"320290 Itarana";-;-;3;-;-;3
"320300 Iúna";-;-;4;-;-;4
"320305 Jaguaré";-;-;3;-;-;3
"320310 Jerônimo Monteiro";-;-;4;-;-;4
"320313 João Neiva";-;-;3;-;-;3
"320316 Laranja da Terra";-;-;2;-;-;2
"320320 Linhares";-;-;10;-;-;10
"320340 Mimoso do Sul";-;-;2;-;-;2
"320350 Montanha";-;-;2;-;-;2
"320405 Pedro Canário";-;-;2;-;-;2
"320420 Piúma";-;-;4;-;-;4
"320425 Ponto Belo";-;-;1;-;-;1
"320440 Rio Novo do Sul";-;-;1;-;-;1
"320450 Santa Leopoldina";-;-;2;-;-;2
"320455 Santa Maria de Jetibá";-;-;3;-;-;3
"320480 São José do Calçado";-;-;6;-;-;6
"320490 São Mateus";-;-;27;-;-;27
"320500 Serra";-;-;47;-;-;47
"320503 Vargem Alta";-;-;4;-;-;4
"320506 Venda Nova do Imigrante";-;-;20;-;-;20
"320510 Viana";-;-;10;-;-;10
"320517 Vila Valério";-;-;2;-;-;2
"320520 Vila Velha";-;-;33;-;-;33
"320530 Vitória";-;-;104;-;-;104
"330010 Angra dos Reis";-;-;49;-;-;49
"330015 Aperibé";-;-;4;-;-;4
"330020 Araruama";-;-;21;-;-;21
"330022 Areal";-;-;4;-;-;4
"330023 Armação dos Búzios";-;-;4;-;-;4
"330025 Arraial do Cabo";-;-;6;-;-;6
"330030 Barra do Piraí";-;-;29;-;-;29
"330040 Barra Mansa";-;-;12;-;-;12
"330045 Belford Roxo";-;-;31;-;-;31
"330060 Bom Jesus do Itabapoana";-;-;2;-;-;2
"330070 Cabo Frio";-;-;53;-;-;53
"330080 Cachoeiras de Macacu";-;-;8;-;-;8
"330090 Cambuci";-;-;3;-;-;3
"330100 Campos dos Goytacazes";-;-;60;-;-;60
"330110 Cantagalo";-;-;4;-;-;4
"330120 Carmo";-;-;5;-;-;5
"330130 Casimiro de Abreu";-;-;3;-;-;3
"330150 Cordeiro";-;-;10;-;-;10
"330160 Duas Barras";-;-;2;-;-;2
"330170 Duque de Caxias";-;-;81;-;-;81
"330180 Engenheiro Paulo de Frontin";-;-;1;-;-;1
"330187 Iguaba Grande";-;-;13;-;-;13
"330190 Itaboraí";-;-;33;-;-;33
"330200 Itaguaí";-;-;11;-;-;11
"330205 Italva";-;-;5;-;-;5
"330210 Itaocara";-;-;6;-;-;6
"330220 Itaperuna";-;-;3;-;-;3
"330225 Itatiaia";-;-;1;-;-;1
"330227 Japeri";-;-;8;-;-;8
"330240 Macaé";-;-;59;-;-;59
"330250 Magé";-;-;51;-;-;51
"330260 Mangaratiba";-;-;3;-;-;3
"330270 Maricá";-;-;16;-;-;16
"330285 Mesquita";-;-;10;-;-;10
"330290 Miguel Pereira";-;-;4;-;-;4
"330300 Miracema";-;-;10;-;-;10
"330310 Natividade";-;-;6;-;-;6
"330320 Nilópolis";-;-;14;-;-;14
"330330 Niterói";-;-;148;-;-;148
"330340 Nova Friburgo";-;-;34;-;-;34
"330350 Nova Iguaçu";-;-;62;-;-;62
"330360 Paracambi";-;-;9;-;-;9
"330370 Paraíba do Sul";-;-;8;-;-;8
"330390 Petrópolis";-;-;53;-;-;53
"330400 Piraí";-;-;6;-;-;6
"330412 Quatis";-;-;1;-;-;1
"330414 Queimados";-;-;9;-;-;9
"330415 Quissamã";-;-;7;-;-;7
"330420 Resende";-;-;44;-;-;44
"330430 Rio Bonito";-;-;12;-;-;12
"330440 Rio Claro";-;-;6;-;-;6
"330450 Rio das Flores";-;-;1;-;-;1
"330452 Rio das Ostras";-;-;12;-;-;12
"330455 Rio de Janeiro";-;-;965;-;-;965
"330460 Santa Maria Madalena";-;-;3;-;-;3
"330470 Santo Antônio de Pádua";-;-;1;-;-;1
"330475 São Francisco de Itabapoana";-;-;10;-;-;10
"330490 São Gonçalo";-;-;296;-;-;296
"330500 São João da Barra";-;-;22;-;-;22
"330510 São João de Meriti";-;-;50;-;-;50
"330513 São José de Ubá";-;-;2;-;-;2
"330515 São José do Vale do Rio Preto";-;-;1;-;-;1
"330520 São Pedro da Aldeia";-;-;12;-;-;12
"330530 São Sebastião do Alto";-;-;4;-;-;4
"330540 Sapucaia";-;-;4;-;-;4
"330550 Saquarema";-;-;29;-;-;29
"330555 Seropédica";-;-;13;-;-;13
"330560 Silva Jardim";-;-;6;-;-;6
"330570 Sumidouro";-;-;2;-;-;2
"330575 Tanguá";-;-;1;-;-;1
"330580 Teresópolis";-;-;21;-;-;21
"330600 Três Rios";-;-;20;-;-;20
"330610 Valença";-;-;7;-;-;7
"330620 Vassouras";-;-;8;-;-;8
"330630 Volta Redonda";-;-;36;-;-;36
"350010 Adamantina";-;-;4;-;-;4
"350040 Águas da Prata";-;-;4;-;-;4
"350060 Águas de São Pedro";-;-;6;-;-;6
"350075 Alambari";-;-;1;-;-;1
"350110 Alto Alegre";-;-;2;-;-;2
"350160 Americana";-;-;40;-;-;40
"350170 Américo Brasiliense";-;-;4;-;-;4
"350190 Amparo";-;-;23;-;-;23
"350280 Araçatuba";-;-;31;-;-;31
"350290 Araçoiaba da Serra";-;-;7;-;-;7
"350320 Araraquara";-;-;44;-;-;44
"350330 Araras";-;-;9;-;-;9
"350340 Arealva";-;-;3;-;-;3
"350380 Artur Nogueira";-;-;13;-;-;13
"350390 Arujá";-;-;3;-;-;3
"350400 Assis";-;-;16;-;-;16
"350410 Atibaia";-;-;29;-;-;29
"350420 Auriflama";-;-;2;-;-;2
"350440 Avanhandava";-;-;1;-;-;1
"350480 Bálsamo";-;-;6;-;-;6
"350490 Bananal";-;-;3;-;-;3
"350510 Barbosa";-;-;1;-;-;1
"350520 Bariri";-;-;3;-;-;3
"350530 Barra Bonita";-;-;2;-;-;2
"350550 Barretos";-;-;77;-;-;77
"350560 Barrinha";-;-;6;-;-;6
"350570 Barueri";-;-;40;-;-;40
"350580 Bastos";-;-;11;-;-;11
"350590 Batatais";-;-;3;-;-;3
"350600 Bauru";-;-;55;-;-;55
"350610 Bebedouro";-;-;20;-;-;20
"350630 Bernardino de Campos";-;-;3;-;-;3
"350635 Bertioga";-;-;7;-;-;7
"350640 Bilac";-;-;2;-;-;2
"350650 Birigui";-;-;7;-;-;7
"350680 Bocaina";-;-;2;-;-;2
"350700 Boituva";-;-;6;-;-;6
"350740 Borborema";-;-;4;-;-;4
"350750 Botucatu";-;-;4;-;-;4
"350760 Bragança Paulista";-;-;33;-;-;33
"350800 Buri";-;-;2;-;-;2
"350810 Buritama";-;-;3;-;-;3
"350840 Cabreúva";-;-;11;-;-;11
"350850 Caçapava";-;-;6;-;-;6
"350870 Caconde";-;-;5;-;-;5
"350880 Cafelândia";-;-;4;-;-;4
"350900 Caieiras";-;-;18;-;-;18
"350920 Cajamar";-;-;13;-;-;13
"350930 Cajobi";-;-;6;-;-;6
"350950 Campinas";-;-;153;-;-;153
"350960 Campo Limpo Paulista";-;-;9;-;-;9
"350970 Campos do Jordão";-;-;2;-;-;2
"350990 Cananéia";-;-;2;-;-;2
"351010 Cândido Rodrigues";-;-;4;-;-;4
"351020 Capão Bonito";-;-;1;-;-;1
"351040 Capivari";-;-;15;-;-;15
"351050 Caraguatatuba";-;-;27;-;-;27
"351060 Carapicuíba";-;-;28;-;-;28
"351070 Cardoso";-;-;8;-;-;8
"351080 Casa Branca";-;-;46;-;-;46
"351090 Cássia dos Coqueiros";-;-;2;-;-;2
"351100 Castilho";-;-;4;-;-;4
"351110 Catanduva";-;-;31;-;-;31
"351130 Cedral";-;-;7;-;-;7
"351140 Cerqueira César";-;-;1;-;-;1
"351150 Cerquilho";-;-;6;-;-;6
"351160 Cesário Lange";-;-;4;-;-;4
"351220 Conchal";-;-;16;-;-;16
"351260 Coronel Macedo";-;-;1;-;-;1
"351280 Cosmópolis";-;-;5;-;-;5
"351300 Cotia";-;-;25;-;-;25
"351350 Cubatão";-;-;12;-;-;12
"351380 Diadema";-;-;41;-;-;41
"351390 Divinolândia";-;-;4;-;-;4
"351430 Dourado";-;-;3;-;-;3
"351440 Dracena";-;-;19;-;-;19
"351480 Eldorado";-;-;1;-;-;1
"351500 Embu das Artes";-;-;25;-;-;25
"351510 Embu-Guaçu";-;-;11;-;-;11
"351520 Estrela d'Oeste";-;-;2;-;-;2
"351550 Fernandópolis";-;-;1;-;-;1
"351570 Ferraz de Vasconcelos";-;-;21;-;-;21
"351620 Franca";-;-;18;-;-;18
"351630 Francisco Morato";-;-;18;-;-;18
"351640 Franco da Rocha";-;-;42;-;-;42
"351670 Garça";-;-;4;-;-;4
"351690 General Salgado";-;-;2;-;-;2
"351700 Getulina";-;-;4;-;-;4
"351740 Guaíra";-;-;3;-;-;3
"351760 Guapiara";-;-;5;-;-;5
"351810 Guarantã";-;-;15;-;-;15
"351820 Guararapes";-;-;5;-;-;5
"351840 Guaratinguetá";-;-;20;-;-;20
"351870 Guarujá";-;-;37;-;-;37
"351880 Guarulhos";-;-;107;-;-;107
"351900 Herculândia";-;-;2;-;-;2
"351905 Holambra";-;-;2;-;-;2
"351907 Hortolândia";-;-;15;-;-;15
"351910 Iacanga";-;-;3;-;-;3
"351950 Ibirarema";-;-;14;-;-;14
"351960 Ibitinga";-;-;3;-;-;3
"352010 Igarapava";-;-;7;-;-;7
"352020 Igaratá";-;-;8;-;-;8
"352030 Iguape";-;-;4;-;-;4
"352040 Ilhabela";-;-;1;-;-;1
"352050 Indaiatuba";-;-;24;-;-;24
"352070 Indiaporã";-;-;4;-;-;4
"352080 Inúbia Paulista";-;-;1;-;-;1
"352170 Itaberá";-;-;6;-;-;6
"352180 Itaí";-;-;7;-;-;7
"352190 Itajobi";-;-;3;-;-;3
"352210 Itanhaém";-;-;1;-;-;1
"352220 Itapecerica da Serra";-;-;1;-;-;1
"352240 Itapeva";-;-;4;-;-;4
"352250 Itapevi";-;-;14;-;-;14
"352260 Itapira";-;-;8;-;-;8
"352270 Itápolis";-;-;4;-;-;4
"352280 Itaporanga";-;-;4;-;-;4
"352290 Itapuí";-;-;5;-;-;5
"352310 Itaquaquecetuba";-;-;1;-;-;1
"352320 Itararé";-;-;4;-;-;4
"352340 Itatiba";-;-;7;-;-;7
"352350 Itatinga";-;-;3;-;-;3
"352390 Itu";-;-;13;-;-;13
"352430 Jaboticabal";-;-;10;-;-;10
"352440 Jacareí";-;-;28;-;-;28
"352450 Jaci";-;-;4;-;-;4
"352470 Jaguariúna";-;-;6;-;-;6
"352480 Jales";-;-;21;-;-;21
"352500 Jandira";-;-;23;-;-;23
"352530 Jaú";-;-;4;-;-;4
"352550 Joanópolis";-;-;4;-;-;4
"352590 Jundiaí";-;-;72;-;-;72
"352610 Juquiá";-;-;4;-;-;4
"352670 Leme";-;-;16;-;-;16
"352680 Lençóis Paulista";-;-;2;-;-;2
"352690 Limeira";-;-;48;-;-;48
"352710 Lins";-;-;31;-;-;31
"352720 Lorena";-;-;13;-;-;13
"352730 Louveira";-;-;9;-;-;9
"352760 Luís Antônio";-;-;6;-;-;6
"352800 Macatuba";-;-;4;-;-;4
"352880 Maracaí";-;-;3;-;-;3
"352900 Marília";-;-;14;-;-;14
"352930 Matão";-;-;1;-;-;1
"352940 Mauá";-;-;62;-;-;62
"352970 Miguelópolis";-;-;4;-;-;4
"352990 Miracatu";-;-;12;-;-;12
"353040 Mirassolândia";-;-;2;-;-;2
"353060 Mogi das Cruzes";-;-;32;-;-;32
"353070 Mogi Guaçu";-;-;14;-;-;14
"353080 Mogi Mirim";-;-;4;-;-;4
"353110 Mongaguá";-;-;7;-;-;7
"353130 Monte Alto";-;-;4;-;-;4
"353150 Monte Azul Paulista";-;-;1;-;-;1
"353180 Monte Mor";-;-;3;-;-;3
"353200 Morungaba";-;-;3;-;-;3
"353240 Nazaré Paulista";-;-;5;-;-;5
"353250 Neves Paulista";-;-;6;-;-;6
"353260 Nhandeara";-;-;4;-;-;4
"353290 Nova Europa";-;-;6;-;-;6
"353300 Nova Granada";-;-;12;-;-;12
"353350 Novo Horizonte";-;-;5;-;-;5
"353360 Nuporanga";-;-;2;-;-;2
"353390 Olímpia";-;-;6;-;-;6
"353440 Osasco";-;-;55;-;-;55
"353460 Osvaldo Cruz";-;-;14;-;-;14
"353470 Ourinhos";-;-;7;-;-;7
"353475 Ouroeste";-;-;5;-;-;5
"353520 Palmeira d'Oeste";-;-;5;-;-;5
"353560 Paraibuna";-;-;5;-;-;5
"353580 Paranapanema";-;-;6;-;-;6
"353610 Pardinho";-;-;8;-;-;8
"353630 Patrocínio Paulista";-;-;4;-;-;4
"353650 Paulínia";-;-;4;-;-;4
"353670 Pederneiras";-;-;13;-;-;13
"353700 Pedregulho";-;-;2;-;-;2
"353710 Pedreira";-;-;10;-;-;10
"353730 Penápolis";-;-;1;-;-;1
"353750 Pereiras";-;-;1;-;-;1
"353760 Peruíbe";-;-;1;-;-;1
"353780 Piedade";-;-;3;-;-;3
"353790 Pilar do Sul";-;-;8;-;-;8
"353800 Pindamonhangaba";-;-;5;-;-;5
"353820 Pinhalzinho";-;-;3;-;-;3
"353870 Piracicaba";-;-;55;-;-;55
"353880 Piraju";-;-;1;-;-;1
"353890 Pirajuí";-;-;8;-;-;8
"353900 Pirangi";-;-;7;-;-;7
"353920 Pirapozinho";-;-;2;-;-;2
"353930 Pirassununga";-;-;28;-;-;28
"353990 Poloni";-;-;6;-;-;6
"354000 Pompéia";-;-;2;-;-;2
"354020 Pontal";-;-;3;-;-;3
"354040 Populina";-;-;3;-;-;3
"354060 Porto Feliz";-;-;3;-;-;3
"354070 Porto Ferreira";-;-;2;-;-;2
"354080 Potirendaba";-;-;13;-;-;13
"354100 Praia Grande";-;-;33;-;-;33
"354140 Presidente Prudente";-;-;61;-;-;61
"354160 Promissão";-;-;4;-;-;4
"354170 Quatá";-;-;3;-;-;3
"354220 Rancharia";-;-;1;-;-;1
"354240 Regente Feijó";-;-;3;-;-;3
"354260 Registro";-;-;13;-;-;13
"354300 Ribeirão Branco";-;-;2;-;-;2
"354330 Ribeirão Pires";-;-;25;-;-;25
"354340 Ribeirão Preto";-;-;117;-;-;117
"354370 Rincão";-;-;4;-;-;4
"354390 Rio Claro";-;-;12;-;-;12
"354410 Rio Grande da Serra";-;-;6;-;-;6
"354425 Rosana";-;-;4;-;-;4
"354490 Sales Oliveira";-;-;3;-;-;3
"354510 Salmourão";-;-;1;-;-;1
"354515 Saltinho";-;-;1;-;-;1
"354520 Salto";-;-;16;-;-;16
"354540 Salto Grande";-;-;4;-;-;4
"354580 Santa Bárbara d'Oeste";-;-;2;-;-;2
"354600 Santa Branca";-;-;4;-;-;4
"354630 Santa Cruz das Palmeiras";-;-;6;-;-;6
"354640 Santa Cruz do Rio Pardo";-;-;1;-;-;1
"354660 Santa Fé do Sul";-;-;13;-;-;13
"354670 Santa Gertrudes";-;-;4;-;-;4
"354680 Santa Isabel";-;-;6;-;-;6
"354710 Santa Mercedes";-;-;1;-;-;1
"354750 Santa Rita do Passa Quatro";-;-;2;-;-;2
"354760 Santa Rosa de Viterbo";-;-;4;-;-;4
"354730 Santana de Parnaíba";-;-;2;-;-;2
"354780 Santo André";-;-;175;-;-;175
"354805 Santo Antônio do Aracanguá";-;-;1;-;-;1
"354850 Santos";-;-;66;-;-;66
"354860 São Bento do Sapucaí";-;-;5;-;-;5
"354870 São Bernardo do Campo";-;-;196;-;-;196
"354880 São Caetano do Sul";-;-;58;-;-;58
"354890 São Carlos";-;-;41;-;-;41
"354910 São João da Boa Vista";-;-;9;-;-;9
"354940 São Joaquim da Barra";-;-;6;-;-;6
"354960 São José do Barreiro";-;-;2;-;-;2
"354970 São José do Rio Pardo";-;-;5;-;-;5
"354980 São José do Rio Preto";-;-;79;-;-;79
"354990 São José dos Campos";-;-;138;-;-;138
"355010 São Manuel";-;-;7;-;-;7
"355030 São Paulo";-;-;1439;-;-;1439
"355040 São Pedro";-;-;1;-;-;1
"355060 São Roque";-;-;6;-;-;6
"355070 São Sebastião";-;-;22;-;-;22
"355080 São Sebastião da Grama";-;-;2;-;-;2
"355090 São Simão";-;-;2;-;-;2
"355100 São Vicente";-;-;40;-;-;40
"355160 Serra Negra";-;-;5;-;-;5
"355150 Serrana";-;-;2;-;-;2
"355170 Sertãozinho";-;-;19;-;-;19
"355200 Silveiras";-;-;1;-;-;1
"355210 Socorro";-;-;2;-;-;2
"355220 Sorocaba";-;-;132;-;-;132
"355240 Sumaré";-;-;26;-;-;26
"355250 Suzano";-;-;30;-;-;30
"355280 Taboão da Serra";-;-;12;-;-;12
"355310 Taiaçu";-;-;2;-;-;2
"355320 Taiúva";-;-;3;-;-;3
"355330 Tambaú";-;-;2;-;-;2
"355340 Tanabi";-;-;9;-;-;9
"355350 Tapiraí";-;-;4;-;-;4
"355370 Taquaritinga";-;-;4;-;-;4
"355385 Taquarivaí";-;-;3;-;-;3
"355395 Tarumã";-;-;1;-;-;1
"355400 Tatuí";-;-;5;-;-;5
"355410 Taubaté";-;-;27;-;-;27
"355450 Tietê";-;-;1;-;-;1
"355480 Tremembé";-;-;2;-;-;2
"355500 Tupã";-;-;4;-;-;4
"355540 Ubatuba";-;-;7;-;-;7
"355560 Uchoa";-;-;6;-;-;6
"355620 Valinhos";-;-;8;-;-;8
"355630 Valparaíso";-;-;3;-;-;3
"355640 Vargem Grande do Sul";-;-;6;-;-;6
"355645 Vargem Grande Paulista";-;-;3;-;-;3
"355650 Várzea Paulista";-;-;2;-;-;2
"355670 Vinhedo";-;-;5;-;-;5
"355680 Viradouro";-;-;5;-;-;5
"355700 Votorantim";-;-;11;-;-;11
"355710 Votuporanga";-;-;14;-;-;14
"410040 Almirante Tamandaré";-;-;-;4;-;4
"410045 Altamira do Paraná";-;-;-;2;-;2
"410060 Alto Paraná";-;-;-;1;-;1
"410070 Alto Piquiri";-;-;-;8;-;8
"410100 Ampére";-;-;-;4;-;4
"410140 Apucarana";-;-;-;12;-;12
"410150 Arapongas";-;-;-;20;-;20
"410170 Araruna";-;-;-;2;-;2
"410180 Araucária";-;-;-;17;-;17
"410190 Assaí";-;-;-;1;-;1
"410200 Assis Chateaubriand";-;-;-;1;-;1
"410210 Astorga";-;-;-;4;-;4
"410220 Atalaia";-;-;-;1;-;1
"410230 Balsa Nova";-;-;-;1;-;1
"410240 Bandeirantes";-;-;-;1;-;1
"410250 Barbosa Ferraz";-;-;-;7;-;7
"410310 Bocaiúva do Sul";-;-;-;2;-;2
"410315 Bom Jesus do Sul";-;-;-;3;-;3
"410370 Cambé";-;-;-;16;-;16
"410380 Cambira";-;-;-;4;-;4
"410400 Campina Grande do Sul";-;-;-;16;-;16
"410410 Campo do Tenente";-;-;-;3;-;3
"410420 Campo Largo";-;-;-;1;-;1
"410430 Campo Mourão";-;-;-;17;-;17
"410440 Cândido de Abreu";-;-;-;3;-;3
"410470 Carlópolis";-;-;-;2;-;2
"410480 Cascavel";-;-;-;44;-;44
"410490 Castro";-;-;-;14;-;14
"410510 Centenário do Sul";-;-;-;3;-;3
"410520 Cerro Azul";-;-;-;1;-;1
"410530 Céu Azul";-;-;-;2;-;2
"410540 Chopinzinho";-;-;-;2;-;2
"410550 Cianorte";-;-;-;3;-;3
"410580 Colombo";-;-;-;21;-;21
"410590 Colorado";-;-;-;6;-;6
"410610 Conselheiro Mairinck";-;-;-;1;-;1
"410630 Corbélia";-;-;-;1;-;1
"410640 Cornélio Procópio";-;-;-;6;-;6
"410645 Coronel Domingos Soares";-;-;-;2;-;2
"410650 Coronel Vivida";-;-;-;3;-;3
"410657 Cruzeiro do Iguaçu";-;-;-;6;-;6
"410670 Cruzeiro do Sul";-;-;-;2;-;2
"410690 Curitiba";-;-;-;266;-;266
"410712 Diamante do Sul";-;-;-;1;-;1
"410720 Dois Vizinhos";-;-;-;4;-;4
"410730 Doutor Camargo";-;-;-;1;-;1
"410750 Engenheiro Beltrão";-;-;-;2;-;2
"410760 Faxinal";-;-;-;5;-;5
"410765 Fazenda Rio Grande";-;-;-;5;-;5
"410790 Floresta";-;-;-;6;-;6
"410820 Formosa do Oeste";-;-;-;4;-;4
"410830 Foz do Iguaçu";-;-;-;45;-;45
"410840 Francisco Beltrão";-;-;-;15;-;15
"410850 General Carneiro";-;-;-;6;-;6
"410860 Goioerê";-;-;-;12;-;12
"410880 Guaíra";-;-;-;4;-;4
"410940 Guarapuava";-;-;-;13;-;13
"410950 Guaraqueçaba";-;-;-;2;-;2
"410960 Guaratuba";-;-;-;4;-;4
"410970 Ibaiti";-;-;-;10;-;10
"410975 Ibema";-;-;-;1;-;1
"410980 Ibiporã";-;-;-;11;-;11
"410990 Icaraíma";-;-;-;1;-;1
"411010 Imbituva";-;-;-;5;-;5
"411020 Inácio Martins";-;-;-;1;-;1
"411050 Ipiranga";-;-;-;1;-;1
"411060 Iporã";-;-;-;1;-;1
"411070 Irati";-;-;-;7;-;7
"411095 Itaipulândia";-;-;-;1;-;1
"411125 Itaperuçu";-;-;-;5;-;5
"411150 Ivaiporã";-;-;-;2;-;2
"411155 Ivaté";-;-;-;2;-;2
"411160 Ivatuba";-;-;-;2;-;2
"411170 Jaboti";-;-;-;1;-;1
"411190 Jaguapitã";-;-;-;2;-;2
"411200 Jaguariaíva";-;-;-;3;-;3
"411210 Jandaia do Sul";-;-;-;8;-;8
"411230 Japira";-;-;-;3;-;3
"411240 Japurá";-;-;-;1;-;1
"411270 Jataizinho";-;-;-;2;-;2
"411280 Joaquim Távora";-;-;-;2;-;2
"411320 Lapa";-;-;-;1;-;1
"411330 Laranjeiras do Sul";-;-;-;6;-;6
"411350 Loanda";-;-;-;4;-;4
"411370 Londrina";-;-;-;78;-;78
"411410 Mandaguaçu";-;-;-;1;-;1
"411430 Mandirituba";-;-;-;5;-;5
"411450 Manoel Ribas";-;-;-;1;-;1
"411460 Marechal Cândido Rondon";-;-;-;7;-;7
"411480 Marialva";-;-;-;1;-;1
"411500 Marilena";-;-;-;1;-;1
"411510 Mariluz";-;-;-;3;-;3
"411520 Maringá";-;-;-;176;-;176
"411535 Maripá";-;-;-;2;-;2
"411540 Marmeleiro";-;-;-;3;-;3
"411560 Matelândia";-;-;-;2;-;2
"411570 Matinhos";-;-;-;4;-;4
"411580 Medianeira";-;-;-;15;-;15
"411605 Missal";-;-;-;1;-;1
"411610 Moreira Sales";-;-;-;5;-;5
"411695 Nova Esperança do Sudoeste";-;-;-;6;-;6
"411700 Nova Fátima";-;-;-;2;-;2
"411710 Nova Londrina";-;-;-;8;-;8
"411725 Nova Prata do Iguaçu";-;-;-;3;-;3
"411722 Nova Santa Rosa";-;-;-;1;-;1
"411730 Ortigueira";-;-;-;3;-;3
"411745 Ouro Verde do Oeste";-;-;-;8;-;8
"411750 Paiçandu";-;-;-;6;-;6
"411790 Palotina";-;-;-;9;-;9
"411820 Paranaguá";-;-;-;18;-;18
"411840 Paranavaí";-;-;-;4;-;4
"411850 Pato Branco";-;-;-;21;-;21
"411885 Perobal";-;-;-;3;-;3
"411900 Pérola d'Oeste";-;-;-;3;-;3
"411915 Pinhais";-;-;-;28;-;28
"411930 Pinhão";-;-;-;1;-;1
"411940 Piraí do Sul";-;-;-;2;-;2
"411960 Pitanga";-;-;-;1;-;1
"411980 Planalto";-;-;-;2;-;2
"411990 Ponta Grossa";-;-;-;22;-;22
"411995 Pontal do Paraná";-;-;-;3;-;3
"412000 Porecatu";-;-;-;4;-;4
"412090 Quedas do Iguaçu";-;-;-;1;-;1
"412100 Querência do Norte";-;-;-;1;-;1
"412130 Rancho Alegre";-;-;-;1;-;1
"412180 Ribeirão Claro";-;-;-;4;-;4
"412210 Rio Bom";-;-;-;4;-;4
"412217 Rio Branco do Ivaí";-;-;-;4;-;4
"412220 Rio Branco do Sul";-;-;-;6;-;6
"412230 Rio Negro";-;-;-;2;-;2
"412240 Rolândia";-;-;-;20;-;20
"412265 Rosário do Ivaí";-;-;-;2;-;2
"412300 Salto do Lontra";-;-;-;10;-;10
"412320 Santa Cecília do Pavão";-;-;-;7;-;7
"412340 Santa Fé";-;-;-;1;-;1
"412350 Santa Helena";-;-;-;2;-;2
"412400 Santana do Itararé";-;-;-;2;-;2
"412410 Santo Antônio da Platina";-;-;-;6;-;6
"412420 Santo Antônio do Caiuá";-;-;-;2;-;2
"412440 Santo Antônio do Sudoeste";-;-;-;1;-;1
"412460 São Carlos do Ivaí";-;-;-;1;-;1
"412490 São João do Caiuá";-;-;-;2;-;2
"412510 São João do Triunfo";-;-;-;1;-;1
"412530 São Jorge do Ivaí";-;-;-;5;-;5
"412535 São Jorge do Patrocínio";-;-;-;2;-;2
"412540 São José da Boa Vista";-;-;-;2;-;2
"412545 São José das Palmeiras";-;-;-;1;-;1
"412550 São José dos Pinhais";-;-;-;16;-;16
"412570 São Miguel do Iguaçu";-;-;-;2;-;2
"412625 Sarandi";-;-;-;6;-;6
"412640 Sertaneja";-;-;-;2;-;2
"412667 Tamarana";-;-;-;2;-;2
"412670 Tamboara";-;-;-;1;-;1
"412710 Telêmaco Borba";-;-;-;6;-;6
"412720 Terra Boa";-;-;-;5;-;5
"412770 Toledo";-;-;-;13;-;13
"412780 Tomazina";-;-;-;2;-;2
"412790 Tuneiras do Oeste";-;-;-;2;-;2
"412800 Ubiratã";-;-;-;2;-;2
"412810 Umuarama";-;-;-;20;-;20
"412820 União da Vitória";-;-;-;5;-;5
"412840 Uraí";-;-;-;2;-;2
"412860 Verê";-;-;-;1;-;1
"412850 Wenceslau Braz";-;-;-;4;-;4
"420010 Abelardo Luz";-;-;-;8;-;8
"420020 Agrolândia";-;-;-;12;-;12
"420040 Água Doce";-;-;-;2;-;2
"420070 Alfredo Wagner";-;-;-;2;-;2
"420090 Angelina";-;-;-;5;-;5
"420100 Anita Garibaldi";-;-;-;2;-;2
"420110 Anitápolis";-;-;-;4;-;4
"420127 Arabutã";-;-;-;2;-;2
"420140 Araranguá";-;-;-;1;-;1
"420160 Arroio Trinta";-;-;-;1;-;1
"420205 Balneário Barra do Sul";-;-;-;3;-;3
"420200 Balneário Camboriú";-;-;-;14;-;14
"420210 Barra Velha";-;-;-;3;-;3
"420240 Blumenau";-;-;-;57;-;57
"420250 Bom Jardim da Serra";-;-;-;2;-;2
"420260 Bom Retiro";-;-;-;2;-;2
"420245 Bombinhas";-;-;-;7;-;7
"420280 Braço do Norte";-;-;-;6;-;6
"420290 Brusque";-;-;-;17;-;17
"420300 Caçador";-;-;-;6;-;6
"420310 Caibi";-;-;-;2;-;2
"420315 Calmon";-;-;-;1;-;1
"420320 Camboriú";-;-;-;6;-;6
"420340 Campo Belo do Sul";-;-;-;3;-;3
"420360 Campos Novos";-;-;-;8;-;8
